raw_ID,unique_hunter_ID,data_type,id_chasseur,village,religion,niveau_etudes,activite_1,temps_chasseur,frequence_chasse,duree,mois,periode_chasse,base_chasse,detail_base_chasse,distance_lieu_chasse_hr,type_chasse,strategie_primaire,strategie_chasse,type_fleches,type_pieges,nombre_pieges,depenses_nourritoure,depenses_transport,depenses_utiles_chasse,depenses_location,depenses_cartuches,nombre_personnes,nombre_membre_famille,nombre_amis,nombre_personnes_inconnues,especes_cible,detail_especes_cible,estiamtion_succes_chasse,autres_activites,detail_autres_activites,succes_chasse_opinion,especes_chassees,detail_especes_chasses,Nbr_Canivores,Nbr_pangolin,Nbr_Reptiles,Nbr_small_ungulates,Nbr_average_ungulates,Nbr_large_ungulates,Nbr_primates,Nbr_hogs,Nbr_rodent,Nbr_bird,Nbr_autres,Nbr_Tot_Ani,Kg_Canivores,Kg_pangolin,Kg_Reptiles,Kg_small_ungulates,Kg_average_ungulates,Kg_large_ungulates,Kg_primates,Kg_hogs,kg_rodent,Kg_bird,Kg_autres,Kg_Tot_Ani,CPUE_animal_duree,CPUE_kg_all_duree,CPUE_ungulates,CPUE_small_ungulates,CPUE_average_ungulates,CPUE_large_ungulates,CPUE_hogs,CPUE_primates,CPUE_rodent,CPUE_Reptiles,CPUE_autres
12,1_10,Q4,10,1,protestant,primaire,1,16,0.354,0.5,10,jour,village,iduende,1,individuelle,pieges,pieges,,nylon,NA,0,0,0,0,0,0,0,0,0,,,,pfnl,champignon,non,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1_10,Q4,10,1,protestant,primaire,1,16,0.354,1,11,nuit,village,mbendembende,0.75,individuelle,fusil,fusil_autre,,,1,0,0,0,0,0,0,0,0,0,,,,non,,oui,petitsongules,,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,6.027931873,0,0,0,0,0,0,0,6.027931873,2,6.027931873,6.027931873,6.027931873,0,0,0,0,0,0,0
14,1_10,Q4,10,1,protestant,primaire,1,16,0.354,1,11,jour,village,pomi,1,individuelle,pieges,pieges,,cable,1,0,0,0,0,0,0,0,0,0,,,,non,,oui,ongulesmoyens,,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,10.679967,0,0,0,0,0,0,10.679967,1,10.679967,10.679967,0,10.679967,0,0,0,0,0,0
15,1_11,Q4,11,1,protestant,secondaire,1,10,0.354,1,3,les_deux,village,1,1,individuelle,arc&fleches,arc&fleches,bosiki,,4,0,0,0,0,0,1,0,0,0,NA,ils_taient_deux,NA,non,,oui,sangliers,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,19.09350649,0,0,0,19.09350649,1,19.09350649,19.09350649,0,0,0,19.09350649,0,0,0,0
16,1_11,Q4,11,1,protestant,secondaire,1,10,0.354,1,11,jour,village,idueyoto,2,individuelle,pieges,pieges,,cable,1,0,0,0,0,0,0,0,0,0,,,,non,,oui,autres,tortue,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.86,0,0,0,0,0,0,0,0,3.86,1,3.86,0,0,0,0,0,0,0,3.86,0
17,1_12,Q4,12,1,autre,primaire,1,8,0.707,0.5,4,les_deux,village,1,2,individuelle,fusil,fusil,,,1,0,0,0,0,5000,0,0,0,0,NA,seul,NA,non,,oui,singes,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4.636750903,0,0,0,0,4.636750903,2,9.273501805,0,0,0,0,0,9.273501805,0,0,0
18,1_12,Q4,12,1,autre,primaire,1,8,0.707,0.5,1,les_deux,village,1,0.25,individuelle,pieges,pieges,,cable,0,0,0,0,0,0,0,0,0,0,,seul,,non,,oui,autres,viper_inconnu,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.86,0,0,0,0,0,0,0,0,3.86,2,7.72,0,0,0,0,0,0,0,7.72,0
20,1_12,Q4,12,1,autre,primaire,1,8,0.707,0.5,4,les_deux,village,1,1,individuelle,pieges,pieges,,cable,55,0,0,0,0,0,0,0,0,0,NA,seul,NA,non,,oui,autres,reptile,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.86,0,0,0,0,0,0,0,0,3.86,2,7.72,0,0,0,0,0,0,0,7.72,0
21,1_13,Q4,13,1,protestant,aucune,1,12,0.283,0.5,2,les_deux,village,1,0.5,individuelle,pieges,pieges,,cable,45,0,0,0,0,0,0,0,0,0,NA,seul,NA,non,,oui,autres,reptile,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.86,0,0,0,0,0,0,0,0,3.86,2,7.72,0,0,0,0,0,0,0,7.72,0
22,1_13,Q4,13,1,protestant,aucune,1,12,0.283,0.5,2,les_deux,village,1,0.5,individuelle,fusil,fusil,,,1,0,0,0,0,0,0,0,0,0,,_seul,,non,,oui,singes,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4.636750903,0,0,0,0,4.636750903,2,9.273501805,0,0,0,0,0,9.273501805,0,0,0
23,1_13,Q4,13,1,protestant,aucune,1,12,0.283,1,8,jour,village,,1,individuelle,pieges,arc&fleches_pieges,bosiki,cable,NA,0,0,0,0,0,0,0,0,0,,,,non,,oui,autres,reptile,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.86,0,0,0,0,0,0,0,0,3.86,1,3.86,0,0,0,0,0,0,0,3.86,0
24,1_13,Q4,13,1,protestant,aucune,1,12,0.283,0.5,3,les_deux,village,1,0.5,individuelle,fusil,fusil,,,1,0,0,0,0,0,0,0,0,0,NA,seul,NA,non,,oui,singes,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4.636750903,0,0,0,0,4.636750903,2,9.273501805,0,0,0,0,0,9.273501805,0,0,0
26,1_14,Q4,14,1,autre,secondaire,1,13,0.354,1,11,nuit,village,kumbo'o,1,individuelle,arc&fleches,arc&fleches,bosiki,,1,0,0,0,0,0,0,0,0,0,,,,non,,oui,petitsongules,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.013965937,0,0,0,0,0,0,0,3.013965937,1,3.013965937,3.013965937,3.013965937,0,0,0,0,0,0,0
27,1_14,Q4,14,1,autre,secondaire,1,13,0.354,0.5,4,les_deux,village,1,0.75,individuelle,pieges,pieges,,cable,20,0,0,0,0,0,0,0,0,0,NA,seul,NA,non,,oui,grandsongules,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,24.345,0,0,0,0,0,24.345,2,48.69,24.345,0,0,48.69,0,0,0,0,0
28,1_14,Q4,14,1,autre,secondaire,1,13,0.354,0.5,7,les_deux,village,1,2,individuelle,arc&fleches,arc&fleches,makula,,3,0,0,0,0,0,0,0,0,0,,,,non,,oui,petitsongules,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.013965937,0,0,0,0,0,0,0,3.013965937,2,6.027931873,3.013965937,6.027931873,0,0,0,0,0,0,0
29,1_14,Q4,14,1,autre,secondaire,1,13,0.354,1,10,nuit,village,,1,individuelle,arc&fleches,arc&fleches,bosiki,,2,0,0,1500,0,0,0,0,0,0,,,,non,,non,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1_14,Q4,14,1,autre,secondaire,1,13,0.354,1,10,nuit,village,lolou,1,individuelle,arc&fleches,arc&fleches,bosiki,,2,0,0,0,0,0,0,0,0,0,,,,peche,,oui,autres,pangolin,0,1,0,0,0,0,0,0,0,0,1,2,0,1.511363636,0,0,0,0,0,0,0,0,1.195652174,2.70701581,1,2.70701581,0,0,0,0,0,0,0,0,2.70701581
31,1_14,Q4,14,1,autre,secondaire,1,13,0.354,0.5,3,les_deux,village,1,0.5,individuelle,pieges,pieges,,cable,35,0,0,0,0,0,0,0,0,0,NA,seul,NA,non,,oui,rongeurs,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.992869081,0,0,1.992869081,2,3.985738162,0,0,0,0,0,0,3.985738162,0,0
32,1_14,Q4,14,1,autre,secondaire,1,13,0.354,1,9,nuit,village,,1,individuelle,arc&fleches,arc&fleches,bosiki,,2,0,0,0,0,0,1,0,1,0,,,,non,,non,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1_14,Q4,14,1,autre,secondaire,1,13,0.354,0.5,3,les_deux,village,1,2,individuelle,pieges,pieges,,cable,45,0,0,0,0,0,0,0,0,0,NA,seul,NA,non,,oui,grandsongules,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,24.345,0,0,0,0,0,24.345,2,48.69,24.345,0,0,48.69,0,0,0,0,0
35,1_15,Q4,15,1,protestant,secondaire,1,15,0.354,0.5,3,les_deux,village,1,1,individuelle,pieges,pieges,,cable,50,0,0,0,0,0,0,0,0,0,NA,,NA,non,,oui,rongeurs,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.992869081,0,0,1.992869081,2,3.985738162,0,0,0,0,0,0,3.985738162,0,0
37,1_15,Q4,15,1,protestant,secondaire,1,15,0.354,0.5,10,jour,village,,2,individuelle,arc&fleches,arc&fleches,bosiki,,4,0,0,0,0,0,1,1,0,0,,,,non,,non,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1_15,Q4,15,1,protestant,secondaire,1,15,0.354,0.5,3,les_deux,village,1,0.5,individuelle,fusil,fusil,,,1,0,0,0,0,0,0,0,0,0,NA,seul,NA,non,,oui,singes,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4.636750903,0,0,0,0,4.636750903,2,9.273501805,0,0,0,0,0,9.273501805,0,0,0
40,1_16,Q4,16,1,protestant,primaire,1,4,0.354,1,11,les_deux,village,bapaki,1.75,individuelle,fusil,fusil,,,1,0,0,0,0,0,0,0,0,0,,,,non,,oui,singes,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4.636750903,0,0,0,0,4.636750903,1,4.636750903,0,0,0,0,0,4.636750903,0,0,0
43,1_17,Q4,17,1,autre,primaire,1,7,0.354,4,12,nuit,village,mbungusani,1,individuelle,pieges,pieges,,cable,150,0,0,0,0,0,0,NA,NA,NA,,,,non,,oui,grandsongules,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,24.345,0,0,0,0,0,24.345,0.25,6.08625,24.345,0,0,6.08625,0,0,0,0,0
46,1_17,Q4,17,1,autre,primaire,1,7,0.354,1,2,les_deux,village,1,3,individuelle,arc&fleches,arc&fleches,makula,,3,0,0,0,0,0,1,1,0,0,,son_pre,,non,,oui,grandsongules,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,24.345,0,0,0,0,0,24.345,1,24.345,24.345,0,0,24.345,0,0,0,0,0
47,1_17,Q4,17,1,autre,primaire,1,7,0.354,1,10,nuit,village,indwandwa,1,individuelle,fusil,fusil_arc&fleches,bosiki,,2,0,0,0,0,10000,1,1,0,0,,,,non,,oui,petitsongules_ongulesmoyens,,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,3.013965937,10.679967,0,0,0,0,0,0,13.69393293,2,13.69393293,13.69393293,3.013965937,10.679967,0,0,0,0,0,0
48,1_17,Q4,17,1,autre,primaire,1,7,0.354,1,10,nuit,village,ikokongo,0.3,collective,fusil,fusil_arc&fleches,bosiki,,4,0,0,0,0,0,2,0,1,1,,moreno,,non,,oui,petitsongules,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.013965937,0,0,0,0,0,0,0,3.013965937,1,3.013965937,3.013965937,3.013965937,0,0,0,0,0,0,0
49,1_19,Q4,19,1,autre,primaire,1,10,0.354,0.5,3,les_deux,village,1,1,individuelle,pieges,pieges,,cable,18,0,0,0,0,0,0,0,0,0,NA,seul,NA,non,,oui,autres,rapace,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.195652174,1.195652174,2,2.391304348,0,0,0,0,0,0,0,0,2.391304348
50,1_2,Q4,2,1,autre,universite,1,15,0.354,3,2,les_deux,village,1,3,individuelle,arc&fleches,arc&fleches,makula,,2,0,0,0,0,0,0,0,0,0,,seul,,non,,oui,petitsongules,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.013965937,0,0,0,0,0,0,0,3.013965937,0.333333333,1.004655312,3.013965937,1.004655312,0,0,0,0,0,0,0
51,1_2,Q4,2,1,autre,universite,1,15,0.354,1,9,nuit,village,imange,1.5,collective,fusil,arc&fleches_fusil,bosiki,,NA,0,0,0,0,0,2,0,2,0,,,,non,,oui,petitsongules,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.013965937,0,0,0,0,0,0,0,3.013965937,1,3.013965937,3.013965937,3.013965937,0,0,0,0,0,0,0
52,1_2,Q4,2,1,autre,universite,1,15,0.354,1,7,jour,village,lonia,2,individuelle,chiens,arc&fleches_chiens,bosiki,,3,3200,0,0,0,0,0,0,0,0,,,,non,,non,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1_20,Q4,20,1,protestant,secondaire,1,5,0.354,1,10,nuit,village,nioko,0.5,individuelle,pieges,pieges,,nylon,1,0,0,0,0,0,1,0,0,NA,,sa_femme,,non,,oui,ongulesmoyens,,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,10.679967,0,0,0,0,0,0,10.679967,1,10.679967,10.679967,0,10.679967,0,0,0,0,0,0
57,1_24,Q4,24,1,protestant,secondaire,1,20,0.354,0.5,3,les_deux,village,1,0.5,individuelle,pieges,pieges,,lokumu,NA,0,0,0,0,0,0,0,0,0,NA,seul,NA,non,,oui,oiseaux,,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5.725,0,5.725,10,11.45,0,0,0,0,0,0,0,0,5.725
58,1_24,Q4,24,1,protestant,secondaire,1,20,0.354,0.5,4,jour,village,1,0.5,individuelle,fusil,fusil,,,1,0,0,0,3000,5500,0,0,0,0,NA,seul,NA,non,,oui,singes,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4.636750903,0,0,0,0,4.636750903,2,9.273501805,0,0,0,0,0,9.273501805,0,0,0
59,1_26,Q4,26,1,protestant,secondaire,1,21,0.354,0.5,3,les_deux,village,1,1,individuelle,pieges,pieges,,cable,69,0,0,0,0,0,0,NA,0,0,NA,_seul,NA,non,,oui,oiseaux_rongeurs,,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1.992869081,1.145,0,3.137869081,4,6.275738162,0,0,0,0,0,0,3.985738162,0,1.145
60,1_26,Q4,26,1,autre,secondaire,1,5,0.354,0.5,3,les_deux,village,1,1,individuelle,pieges,pieges,,cable,69,0,0,0,0,0,0,NA,0,0,NA,_seul,NA,non,,oui,oiseaux_rongeurs,,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1.992869081,1.145,0,3.137869081,4,6.275738162,0,0,0,0,0,0,3.985738162,0,1.145
61,1_26,Q4,26,1,protestant,secondaire,1,21,0.354,1,2,les_deux,village,1,0.5,individuelle,autre,autre,,,2,0,0,0,0,0,0,NA,0,0,,il_tait_seul,,non,,oui,grandsongules,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,24.345,0,0,0,0,0,24.345,1,24.345,24.345,0,0,24.345,0,0,0,0,0
62,1_26,Q4,26,1,autre,secondaire,1,5,0.354,1,2,les_deux,village,1,0.5,individuelle,autre,autre,,,2,0,0,0,0,0,0,NA,0,0,,il_tait_seul,,non,,oui,grandsongules,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,24.345,0,0,0,0,0,24.345,1,24.345,24.345,0,0,24.345,0,0,0,0,0
65,1_26,Q4,26,1,protestant,secondaire,1,21,0.354,0.5,2,les_deux,village,1,3,individuelle,pieges,pieges,,nylon,5,0,0,0,0,0,0,0,0,0,,seul,,non,,oui,petitsongules,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.013965937,0,0,0,0,0,0,0,3.013965937,2,6.027931873,3.013965937,6.027931873,0,0,0,0,0,0,0
66,1_26,Q4,26,1,autre,secondaire,1,5,0.354,0.5,2,les_deux,village,1,3,individuelle,pieges,pieges,,nylon,5,0,0,0,0,0,0,0,0,0,,seul,,non,,oui,petitsongules,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.013965937,0,0,0,0,0,0,0,3.013965937,2,6.027931873,3.013965937,6.027931873,0,0,0,0,0,0,0
72,1_4,Q4,4,1,protestant,primaire,1,13,0.354,0.5,2,les_deux,village,1,0.5,individuelle,pieges,pieges,,cable,20,0,0,0,0,0,0,0,0,0,NA,seul,NA,non,,oui,grandsongules,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,24.345,0,0,0,0,0,24.345,2,48.69,24.345,0,0,48.69,0,0,0,0,0
73,1_4,Q4,4,1,protestant,primaire,1,13,0.354,1,2,les_deux,village,1,2,individuelle,arc&fleches,arc&fleches,makula,,2,0,0,0,0,0,0,0,0,0,,seul,,non,,oui,petitsongules,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.013965937,0,0,0,0,0,0,0,3.013965937,1,3.013965937,3.013965937,3.013965937,0,0,0,0,0,0,0
74,1_4,Q4,4,1,protestant,primaire,1,13,0.354,2,12,les_deux,village,mbungusani,2,individuelle,pieges,pieges,,cable_nylon,200,0,0,0,0,0,0,0,0,0,,,,non,,oui,grandsongules,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,24.345,0,0,0,0,0,24.345,0.5,12.1725,24.345,0,0,12.1725,0,0,0,0,0
75,1_5,Q4,5,1,protestant,secondaire,1,15,0.849,1,1,les_deux,village,1,0.75,collective,arc&fleches,arc&fleches,boseke,,5,0,0,0,0,0,2,0,1,0,,ami,,non,,oui,petitsongules,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.013965937,0,0,0,0,0,0,0,3.013965937,1,3.013965937,3.013965937,3.013965937,0,0,0,0,0,0,0
76,1_5,Q4,5,1,protestant,secondaire,1,15,0.849,1,3,les_deux,village,1,2,collective,fusil,fusil,,,1,0,0,0,0,5000,2,0,1,0,NA,seul_avec_un_ami,NA,non,,oui,grandsongules,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,24.345,0,0,0,0,0,24.345,1,24.345,24.345,0,0,24.345,0,0,0,0,0
78,1_5,Q4,5,1,protestant,secondaire,1,15,0.849,0.5,4,les_deux,village,1,1,individuelle,pieges,pieges,,cable,70,0,0,0,0,0,0,0,0,0,NA,seul,NA,non,,oui,rongeurs,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.992869081,0,0,1.992869081,2,3.985738162,0,0,0,0,0,0,3.985738162,0,0
80,1_5,Q4,5,1,protestant,secondaire,1,15,0.849,0.5,2,les_deux,village,1,2,collective,arc&fleches,arc&fleches,makula,,2,0,0,0,0,0,3,2,0,0,,des_cousins,,non,,oui,petitsongules,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.013965937,0,0,0,0,0,0,0,3.013965937,2,6.027931873,3.013965937,6.027931873,0,0,0,0,0,0,0
84,1_6,Q4,6,1,protestant,secondaire,0,13,0.354,0.5,4,les_deux,village,lompole,0.5,individuelle,pieges,pieges,,cable,13,0,0,0,0,0,0,0,0,0,NA,seul,NA,non,,oui,grandsongules,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,24.345,0,0,0,0,0,24.345,2,48.69,24.345,0,0,48.69,0,0,0,0,0
85,1_6,Q4,6,1,protestant,secondaire,0,13,0.354,1,1,les_deux,village,1,0.75,collective,arc&fleches,arc&fleches,boseke,,4,0,0,0,0,0,2,0,1,0,,ils_sont_amis,,non,,oui,petitsongules,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.013965937,0,0,0,0,0,0,0,3.013965937,1,3.013965937,3.013965937,3.013965937,0,0,0,0,0,0,0
86,1_6,Q4,6,1,protestant,secondaire,0,13,0.354,1,2,les_deux,village,1,2,collective,arc&fleches,arc&fleches,makula,,2,0,0,0,0,0,2,2,0,0,,des_cousins,,non,,oui,grandsongules,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,24.345,0,0,0,0,0,24.345,1,24.345,24.345,0,0,24.345,0,0,0,0,0
87,1_6,Q4,6,1,protestant,secondaire,0,13,0.354,1,9,nuit,village,mbendembende,0.5,individuelle,arc&fleches,arc&fleches,bosiki,,3,0,0,0,0,0,1,0,1,0,,,,non,,non,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,1_6,Q4,6,1,protestant,secondaire,0,13,0.354,1,11,jour,village,route_lompole,1,individuelle,fusil,fusil,,,1,0,0,0,0,0,0,0,0,0,,,,non,,oui,singes,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4.636750903,0,0,0,0,4.636750903,1,4.636750903,0,0,0,0,0,4.636750903,0,0,0
89,1_6,Q4,6,1,protestant,secondaire,0,13,0.354,1,10,nuit,village,indwandwa,1,individuelle,fusil,fusil_arc&fleches,bosiki,,2,0,0,1500,0,0,1,1,0,0,,,,non,,oui,petitsongules,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.013965937,0,0,0,0,0,0,0,3.013965937,1,3.013965937,3.013965937,3.013965937,0,0,0,0,0,0,0
91,1_7,Q4,7,1,autre,primaire,1,10,0.354,2,1,les_deux,village,1,0.5,individuelle,pieges,pieges,,nylon,50,0,0,0,0,0,0,0,0,0,,personne,,non,,oui,rongeurs,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.992869081,0,0,1.992869081,0.5,0.99643454,0,0,0,0,0,0,0.99643454,0,0
92,1_8,Q4,8,1,autre,secondaire,0,10,0.354,2,12,les_deux,village,mbungusani,2,individuelle,fusil,fusil,,,1,0,0,0,3000,5500,0,0,0,0,,,,non,,oui,singes,,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,9.273501805,0,0,0,0,9.273501805,1,4.636750903,0,0,0,0,0,4.636750903,0,0,0
93,1_8,Q4,8,1,autre,secondaire,0,10,0.354,5,9,les_deux,campement_permanent,,3,individuelle,arc&fleches,arc&fleches,bosiki,,3,0,0,1500,0,0,0,0,0,0,,,,non,,non,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
